"","flow_metric","channel_engineering_class","Metric","Negative","Positive","NA","Total"
"1","d_ds_mag_50","HB","csci",6,66,72,72
"2","d_ds_mag_50","NAT","csci",59,322,656,381
"3","d_ds_mag_50","SB0","csci",NA,18,40,NA
"4","d_ds_mag_50","SB1","csci",14,4,39,18
"5","d_ds_mag_50","SB2","csci",NA,54,70,NA
"6","d_fa_mag","HB","csci",NA,72,72,NA
"7","d_fa_mag","NAT","csci",20,361,656,381
"8","d_fa_mag","SB0","csci",NA,18,40,NA
"9","d_fa_mag","SB1","csci",2,16,39,18
"10","d_fa_mag","SB2","csci",8,46,70,54
"11","d_peak_10","HB","csci",59,13,72,72
"12","d_peak_10","NAT","csci",193,188,656,381
"13","d_peak_10","SB0","csci",14,4,40,18
"14","d_peak_10","SB1","csci",16,2,39,18
"15","d_peak_10","SB2","csci",40,14,70,54
"16","d_peak_2","HB","csci",54,18,72,72
"17","d_peak_2","NAT","csci",297,84,656,381
"18","d_peak_2","SB0","csci",14,4,40,18
"19","d_peak_2","SB1","csci",18,NA,39,NA
"20","d_peak_2","SB2","csci",20,34,70,54
"21","d_peak_5","HB","csci",57,15,72,72
"22","d_peak_5","NAT","csci",212,169,656,381
"23","d_peak_5","SB0","csci",14,4,40,18
"24","d_peak_5","SB1","csci",16,2,39,18
"25","d_peak_5","SB2","csci",34,20,70,54
"26","d_sp_mag","HB","csci",28,44,72,72
"27","d_sp_mag","NAT","csci",39,342,656,381
"28","d_sp_mag","SB0","csci",NA,18,40,NA
"29","d_sp_mag","SB1","csci",2,16,39,18
"30","d_sp_mag","SB2","csci",8,46,70,54
"31","d_wet_bfl_mag_10","HB","csci",42,30,72,72
"32","d_wet_bfl_mag_10","NAT","csci",96,285,656,381
"33","d_wet_bfl_mag_10","SB0","csci",NA,18,40,NA
"34","d_wet_bfl_mag_10","SB1","csci",14,4,39,18
"35","d_wet_bfl_mag_10","SB2","csci",26,28,70,54
"36","d_wet_bfl_mag_50","HB","csci",38,34,72,72
"37","d_wet_bfl_mag_50","NAT","csci",81,300,656,381
"38","d_wet_bfl_mag_50","SB0","csci",NA,18,40,NA
"39","d_wet_bfl_mag_50","SB1","csci",14,4,39,18
"40","d_wet_bfl_mag_50","SB2","csci",8,46,70,54
"41","delta_q99","HB","csci",66,6,72,72
"42","delta_q99","NAT","csci",342,39,656,381
"43","delta_q99","SB0","csci",14,4,40,18
"44","delta_q99","SB1","csci",18,NA,39,NA
"45","delta_q99","SB2","csci",46,8,70,54
